ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20070828,CA,0,100,92.56,65.34,35.21,0,8/28/07,9/3/07,1
20070821,CA,0,100,92.32,65.34,35.23,0,8/21/07,8/27/07,1
20070814,CA,0,100,92.32,65.34,35.23,0,8/14/07,8/20/07,1
20070807,CA,0,100,92.32,65.34,35.15,0,8/7/07,8/13/07,1
20070731,CA,0,100,92.32,65.34,35.15,0,7/31/07,8/6/07,1
20070724,CA,0,100,92.32,65.34,35.15,0,7/24/07,7/30/07,1
20070717,CA,0,100,92.32,65.34,35.15,0,7/17/07,7/23/07,1
20070710,CA,0,100,92.32,65.34,35.15,0,7/10/07,7/16/07,1
20070703,CA,0,100,92.32,65.34,35.14,0,7/3/07,7/9/07,1
20070626,CA,0,100,92.32,65.34,34.31,0,6/26/07,7/2/07,1
20070619,CA,0,100,92.32,65.34,34.31,0,6/19/07,6/25/07,1
20070612,CA,3.31,96.69,92.32,65.34,34.4,0,6/12/07,6/18/07,1
20070605,CA,3.31,96.69,92.32,65.34,34.4,0,6/5/07,6/11/07,1
20070529,CA,3.31,96.69,92.32,65.34,34.4,0,5/29/07,6/4/07,1
20070522,CA,3.31,96.69,92.06,65.34,34.39,0,5/22/07,5/28/07,1
20070515,CA,3.31,96.69,89.76,60.45,28.65,0,5/15/07,5/21/07,1
20070508,CA,7.51,92.49,82.35,51.64,28.65,0,5/8/07,5/14/07,1
20070501,CA,7.51,92.49,82.35,51.64,28.65,0,5/1/07,5/7/07,1
20070424,CA,7.75,92.25,82.43,51.64,28.65,0,4/24/07,4/30/07,1
20070417,CA,3.77,96.23,87.3,56.13,28.65,0,4/17/07,4/23/07,1
20070410,CA,5.3,94.7,82.27,38.57,21.32,0,4/10/07,4/16/07,1
20070403,CA,8.52,91.48,63.02,33.01,21.32,0,4/3/07,4/9/07,1
20070327,CA,19.95,80.05,60.74,33.69,21.32,0,3/27/07,4/2/07,1
20070320,CA,25.44,74.56,59.6,32.59,21.23,0,3/20/07,3/26/07,1
20070313,CA,25.41,74.59,59.37,32.59,21.23,0,3/13/07,3/19/07,1
20070306,CA,25.41,74.59,54.02,28.8,0,0,3/6/07,3/12/07,1
20070227,CA,25.41,74.59,54.02,28.8,0,0,2/27/07,3/5/07,1
20070220,CA,15.18,84.82,59.19,29.64,0,0,2/20/07,2/26/07,1
20070213,CA,24.95,75.05,54.44,29.73,0,0,2/13/07,2/19/07,1
20070206,CA,9.64,90.36,61.27,24.23,0,0,2/6/07,2/12/07,1
20070130,CA,9.82,90.18,61.27,22.87,0,0,1/30/07,2/5/07,1
20070123,CA,10.72,89.28,46.97,17.72,0,0,1/23/07,1/29/07,1
20070116,CA,34.97,65.03,27.15,2.62,0,0,1/16/07,1/22/07,1
20070109,CA,34.97,65.03,27.15,2.62,0,0,1/9/07,1/15/07,1
20070102,CA,40.73,59.27,26.77,0,0,0,1/2/07,1/8/07,1
20061226,CA,40.35,59.65,11.64,0,0,0,12/26/06,1/1/07,1
20061219,CA,40.35,59.65,11.64,0,0,0,12/19/06,12/25/06,1
20061212,CA,49.79,50.21,0.79,0,0,0,12/12/06,12/18/06,1
20061205,CA,44.03,55.97,0.79,0,0,0,12/5/06,12/11/06,1
20061128,CA,77.72,22.28,0.82,0,0,0,11/28/06,12/4/06,1
20061121,CA,77.64,22.36,0.82,0,0,0,11/21/06,11/27/06,1
20061114,CA,84.57,15.43,0.82,0,0,0,11/14/06,11/20/06,1
20061107,CA,84.57,15.43,0.82,0,0,0,11/7/06,11/13/06,1
20061031,CA,84.57,15.43,0.82,0,0,0,10/31/06,11/6/06,1
20061024,CA,84.57,15.43,0.82,0,0,0,10/24/06,10/30/06,1
20061017,CA,84.57,15.43,0.82,0,0,0,10/17/06,10/23/06,1
20061010,CA,85.15,14.85,0.82,0,0,0,10/10/06,10/16/06,1
20061003,CA,85.15,14.85,0.82,0,0,0,10/3/06,10/9/06,1
20060926,CA,84.97,15.03,0.82,0,0,0,9/26/06,10/2/06,1
20060919,CA,84.97,15.03,0.82,0,0,0,9/19/06,9/25/06,1
20060912,CA,84.97,15.03,2.62,0.13,0,0,9/12/06,9/18/06,1
20060905,CA,84.79,15.21,2.62,0.13,0,0,9/5/06,9/11/06,1
20060829,CA,93.23,6.77,0.05,0,0,0,8/29/06,9/4/06,1
20060822,CA,93.03,6.97,0.06,0,0,0,8/22/06,8/28/06,1
20060815,CA,92.27,7.73,0.16,0,0,0,8/15/06,8/21/06,1
20060808,CA,92.27,7.73,0.12,0,0,0,8/8/06,8/14/06,1
20060801,CA,92.27,7.73,0.12,0,0,0,8/1/06,8/7/06,1
20060725,CA,92.27,7.73,0.12,0,0,0,7/25/06,7/31/06,1
20060718,CA,92.27,7.73,0.12,0,0,0,7/18/06,7/24/06,1
20060711,CA,92,8,0.12,0,0,0,7/11/06,7/17/06,1
20060704,CA,91.7,8.3,0.07,0,0,0,7/4/06,7/10/06,1
20060627,CA,91.76,8.24,0.07,0,0,0,6/27/06,7/3/06,1
20060620,CA,92.46,7.54,0.07,0,0,0,6/20/06,6/26/06,1
20060613,CA,92.46,7.54,0.07,0,0,0,6/13/06,6/19/06,1
20060606,CA,92.46,7.54,0.07,0,0,0,6/6/06,6/12/06,1
20060530,CA,92.46,7.54,0.07,0,0,0,5/30/06,6/5/06,1
20060523,CA,92.36,7.64,0.07,0,0,0,5/23/06,5/29/06,1
20060516,CA,92.36,7.64,0.07,0,0,0,5/16/06,5/22/06,1
20060509,CA,92.36,7.64,0,0,0,0,5/9/06,5/15/06,1
20060502,CA,92.36,7.64,0.01,0,0,0,5/2/06,5/8/06,1
20060425,CA,92.92,7.08,0.16,0,0,0,4/25/06,5/1/06,1
20060418,CA,92.92,7.08,0.16,0,0,0,4/18/06,4/24/06,1
20060411,CA,92.92,7.08,0.16,0,0,0,4/11/06,4/17/06,1
20060404,CA,92.47,7.53,0.16,0,0,0,4/4/06,4/10/06,1
20060328,CA,91.62,8.38,0.55,0,0,0,3/28/06,4/3/06,1
20060321,CA,83.59,16.41,0.55,0,0,0,3/21/06,3/27/06,1
20060314,CA,83.59,16.41,0.52,0,0,0,3/14/06,3/20/06,1
20060307,CA,78.18,21.82,0.52,0,0,0,3/7/06,3/13/06,1
20060228,CA,75.86,24.14,0.48,0,0,0,2/28/06,3/6/06,1
20060221,CA,84.21,15.79,0,0,0,0,2/21/06,2/27/06,1
20060214,CA,86.59,13.41,0,0,0,0,2/14/06,2/20/06,1
20060207,CA,86.68,13.32,0,0,0,0,2/7/06,2/13/06,1
20060131,CA,97.08,2.92,0,0,0,0,1/31/06,2/6/06,1
20060124,CA,97.08,2.92,0,0,0,0,1/24/06,1/30/06,1
20060117,CA,97.08,2.92,0,0,0,0,1/17/06,1/23/06,1
20060110,CA,96.6,3.4,0,0,0,0,1/10/06,1/16/06,1
20060103,CA,98.32,1.68,0,0,0,0,1/3/06,1/9/06,1
20051227,CA,93.91,6.09,0,0,0,0,12/27/05,1/2/06,1
20051220,CA,93.69,6.31,0,0,0,0,12/20/05,12/26/05,1
20051213,CA,90.03,9.97,0,0,0,0,12/13/05,12/19/05,1
20051206,CA,90.03,9.97,0,0,0,0,12/6/05,12/12/05,1
20051129,CA,75.23,24.77,0,0,0,0,11/29/05,12/5/05,1
20051122,CA,99.66,0.34,0,0,0,0,11/22/05,11/28/05,1
20051115,CA,99.66,0.34,0,0,0,0,11/15/05,11/21/05,1
20051108,CA,99.66,0.34,0,0,0,0,11/8/05,11/14/05,1
