ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20070821,6001,Alameda County,CA,0,100,100,62.22,0,0,8/21/07,8/27/07,1
20070814,6001,Alameda County,CA,0,100,100,62.22,0,0,8/14/07,8/20/07,1
20070807,6001,Alameda County,CA,0,100,100,62.22,0,0,8/7/07,8/13/07,1
20070731,6001,Alameda County,CA,0,100,100,62.22,0,0,7/31/07,8/6/07,1
20070724,6001,Alameda County,CA,0,100,100,62.22,0,0,7/24/07,7/30/07,1
20070717,6001,Alameda County,CA,0,100,100,62.22,0,0,7/17/07,7/23/07,1
20070710,6001,Alameda County,CA,0,100,100,62.22,0,0,7/10/07,7/16/07,1
20070703,6001,Alameda County,CA,0,100,100,62.22,0,0,7/3/07,7/9/07,1
20070626,6001,Alameda County,CA,0,100,100,62.22,0,0,6/26/07,7/2/07,1
20070619,6001,Alameda County,CA,0,100,100,62.22,0,0,6/19/07,6/25/07,1
20070612,6001,Alameda County,CA,0,100,100,62.22,0,0,6/12/07,6/18/07,1
20070605,6001,Alameda County,CA,0,100,100,62.22,0,0,6/5/07,6/11/07,1
20070529,6001,Alameda County,CA,0,100,100,62.22,0,0,5/29/07,6/4/07,1
20070522,6001,Alameda County,CA,0,100,100,62.22,0,0,5/22/07,5/28/07,1
20070515,6001,Alameda County,CA,0,100,100,0,0,0,5/15/07,5/21/07,1
20070508,6001,Alameda County,CA,0,100,100,0,0,0,5/8/07,5/14/07,1
20070501,6001,Alameda County,CA,0,100,100,0,0,0,5/1/07,5/7/07,1
20070424,6001,Alameda County,CA,0,100,100,0,0,0,4/24/07,4/30/07,1
20070417,6001,Alameda County,CA,0,100,100,0,0,0,4/17/07,4/23/07,1
20070410,6001,Alameda County,CA,0,100,82.79,0,0,0,4/10/07,4/16/07,1
20070403,6001,Alameda County,CA,0,100,0,0,0,0,4/3/07,4/9/07,1
20070327,6001,Alameda County,CA,0,100,0,0,0,0,3/27/07,4/2/07,1
20070320,6001,Alameda County,CA,14.34,85.66,0,0,0,0,3/20/07,3/26/07,1
20070313,6001,Alameda County,CA,11.42,88.58,0,0,0,0,3/13/07,3/19/07,1
20070306,6001,Alameda County,CA,11.42,88.58,0,0,0,0,3/6/07,3/12/07,1
20070227,6001,Alameda County,CA,11.42,88.58,0,0,0,0,2/27/07,3/5/07,1
20070220,6001,Alameda County,CA,19.91,80.09,0,0,0,0,2/20/07,2/26/07,1
20070213,6001,Alameda County,CA,19.91,80.09,0,0,0,0,2/13/07,2/19/07,1
20070206,6001,Alameda County,CA,0,100,0,0,0,0,2/6/07,2/12/07,1
20070130,6001,Alameda County,CA,0,100,0,0,0,0,1/30/07,2/5/07,1
20070123,6001,Alameda County,CA,0,100,0,0,0,0,1/23/07,1/29/07,1
20070116,6001,Alameda County,CA,100,0,0,0,0,0,1/16/07,1/22/07,1
20070109,6001,Alameda County,CA,100,0,0,0,0,0,1/9/07,1/15/07,1
20070102,6001,Alameda County,CA,100,0,0,0,0,0,1/2/07,1/8/07,1
20061226,6001,Alameda County,CA,100,0,0,0,0,0,12/26/06,1/1/07,1
20061219,6001,Alameda County,CA,100,0,0,0,0,0,12/19/06,12/25/06,1
20061212,6001,Alameda County,CA,100,0,0,0,0,0,12/12/06,12/18/06,1
20061205,6001,Alameda County,CA,100,0,0,0,0,0,12/5/06,12/11/06,1
20061128,6001,Alameda County,CA,100,0,0,0,0,0,11/28/06,12/4/06,1
20061121,6001,Alameda County,CA,100,0,0,0,0,0,11/21/06,11/27/06,1
20061114,6001,Alameda County,CA,100,0,0,0,0,0,11/14/06,11/20/06,1
20061107,6001,Alameda County,CA,100,0,0,0,0,0,11/7/06,11/13/06,1
20061031,6001,Alameda County,CA,100,0,0,0,0,0,10/31/06,11/6/06,1
20061024,6001,Alameda County,CA,100,0,0,0,0,0,10/24/06,10/30/06,1
20061017,6001,Alameda County,CA,100,0,0,0,0,0,10/17/06,10/23/06,1
20061010,6001,Alameda County,CA,100,0,0,0,0,0,10/10/06,10/16/06,1
20061003,6001,Alameda County,CA,100,0,0,0,0,0,10/3/06,10/9/06,1
20060926,6001,Alameda County,CA,100,0,0,0,0,0,9/26/06,10/2/06,1
20060919,6001,Alameda County,CA,100,0,0,0,0,0,9/19/06,9/25/06,1
20060912,6001,Alameda County,CA,100,0,0,0,0,0,9/12/06,9/18/06,1
20060905,6001,Alameda County,CA,100,0,0,0,0,0,9/5/06,9/11/06,1
20060829,6001,Alameda County,CA,100,0,0,0,0,0,8/29/06,9/4/06,1
20060822,6001,Alameda County,CA,100,0,0,0,0,0,8/22/06,8/28/06,1
20060815,6001,Alameda County,CA,100,0,0,0,0,0,8/15/06,8/21/06,1
20060808,6001,Alameda County,CA,100,0,0,0,0,0,8/8/06,8/14/06,1
20060801,6001,Alameda County,CA,100,0,0,0,0,0,8/1/06,8/7/06,1
20060725,6001,Alameda County,CA,100,0,0,0,0,0,7/25/06,7/31/06,1
20060718,6001,Alameda County,CA,100,0,0,0,0,0,7/18/06,7/24/06,1
20060711,6001,Alameda County,CA,100,0,0,0,0,0,7/11/06,7/17/06,1
20060704,6001,Alameda County,CA,100,0,0,0,0,0,7/4/06,7/10/06,1
20060627,6001,Alameda County,CA,100,0,0,0,0,0,6/27/06,7/3/06,1
20060620,6001,Alameda County,CA,100,0,0,0,0,0,6/20/06,6/26/06,1
20060613,6001,Alameda County,CA,100,0,0,0,0,0,6/13/06,6/19/06,1
20060606,6001,Alameda County,CA,100,0,0,0,0,0,6/6/06,6/12/06,1
20060530,6001,Alameda County,CA,100,0,0,0,0,0,5/30/06,6/5/06,1
20060523,6001,Alameda County,CA,100,0,0,0,0,0,5/23/06,5/29/06,1
20060516,6001,Alameda County,CA,100,0,0,0,0,0,5/16/06,5/22/06,1
20060509,6001,Alameda County,CA,100,0,0,0,0,0,5/9/06,5/15/06,1
20060502,6001,Alameda County,CA,100,0,0,0,0,0,5/2/06,5/8/06,1
20060425,6001,Alameda County,CA,100,0,0,0,0,0,4/25/06,5/1/06,1
20060418,6001,Alameda County,CA,100,0,0,0,0,0,4/18/06,4/24/06,1
20060411,6001,Alameda County,CA,100,0,0,0,0,0,4/11/06,4/17/06,1
20060404,6001,Alameda County,CA,100,0,0,0,0,0,4/4/06,4/10/06,1
20060328,6001,Alameda County,CA,100,0,0,0,0,0,3/28/06,4/3/06,1
20060321,6001,Alameda County,CA,100,0,0,0,0,0,3/21/06,3/27/06,1
20060314,6001,Alameda County,CA,100,0,0,0,0,0,3/14/06,3/20/06,1
20060307,6001,Alameda County,CA,100,0,0,0,0,0,3/7/06,3/13/06,1
20060228,6001,Alameda County,CA,100,0,0,0,0,0,2/28/06,3/6/06,1
20060221,6001,Alameda County,CA,100,0,0,0,0,0,2/21/06,2/27/06,1
