ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20120828,31001,Adams County,NE,0,100,100,100,100,0,8/28/12,9/3/12,1
20120821,31001,Adams County,NE,0,100,100,100,100,0,8/21/12,8/27/12,1
20120814,31001,Adams County,NE,0,100,100,100,99.75,0,8/14/12,8/20/12,1
20120807,31001,Adams County,NE,0,100,100,100,99.82,0,8/7/12,8/13/12,1
20120731,31001,Adams County,NE,0,100,100,100,97.87,0,7/31/12,8/6/12,1
20120724,31001,Adams County,NE,0,100,100,100,0,0,7/24/12,7/30/12,1
20120717,31001,Adams County,NE,0,100,100,0,0,0,7/17/12,7/23/12,1
20120710,31001,Adams County,NE,0,100,100,0,0,0,7/10/12,7/16/12,1
20120703,31001,Adams County,NE,0,100,86.15,0,0,0,7/3/12,7/9/12,1
20120626,31001,Adams County,NE,0,100,52.4,0,0,0,6/26/12,7/2/12,1
20120619,31001,Adams County,NE,0,100,52.4,0,0,0,6/19/12,6/25/12,1
20120612,31001,Adams County,NE,0,100,0,0,0,0,6/12/12,6/18/12,1
20120605,31001,Adams County,NE,100,0,0,0,0,0,6/5/12,6/11/12,1
20120529,31001,Adams County,NE,100,0,0,0,0,0,5/29/12,6/4/12,1
20120522,31001,Adams County,NE,0.15,99.85,0,0,0,0,5/22/12,5/28/12,1
20120515,31001,Adams County,NE,100,0,0,0,0,0,5/15/12,5/21/12,1
20120508,31001,Adams County,NE,100,0,0,0,0,0,5/8/12,5/14/12,1
20120501,31001,Adams County,NE,100,0,0,0,0,0,5/1/12,5/7/12,1
20120424,31001,Adams County,NE,100,0,0,0,0,0,4/24/12,4/30/12,1
20120417,31001,Adams County,NE,100,0,0,0,0,0,4/17/12,4/23/12,1
20120410,31001,Adams County,NE,100,0,0,0,0,0,4/10/12,4/16/12,1
20120403,31001,Adams County,NE,79.1,20.9,0,0,0,0,4/3/12,4/9/12,1
20120327,31001,Adams County,NE,89.47,10.53,0,0,0,0,3/27/12,4/2/12,1
20120320,31001,Adams County,NE,91.61,8.39,0,0,0,0,3/20/12,3/26/12,1
20120313,31001,Adams County,NE,91.61,8.39,0,0,0,0,3/13/12,3/19/12,1
20120306,31001,Adams County,NE,91.61,8.39,0,0,0,0,3/6/12,3/12/12,1
20120228,31001,Adams County,NE,91.61,8.39,0,0,0,0,2/28/12,3/5/12,1
20120221,31001,Adams County,NE,91.61,8.39,0,0,0,0,2/21/12,2/27/12,1
20120214,31001,Adams County,NE,91.61,8.39,0,0,0,0,2/14/12,2/20/12,1
20120207,31001,Adams County,NE,91.61,8.39,0,0,0,0,2/7/12,2/13/12,1
20120131,31001,Adams County,NE,16.93,83.07,8.69,0,0,0,1/31/12,2/6/12,1
20120124,31001,Adams County,NE,16.93,83.07,8.69,0,0,0,1/24/12,1/30/12,1
20120117,31001,Adams County,NE,16.93,83.07,8.69,0,0,0,1/17/12,1/23/12,1
20120110,31001,Adams County,NE,16.93,83.07,8.69,0,0,0,1/10/12,1/16/12,1
20120103,31001,Adams County,NE,16.93,83.07,8.69,0,0,0,1/3/12,1/9/12,1
20111227,31001,Adams County,NE,16.93,83.07,8.69,0,0,0,12/27/11,1/2/12,1
20111220,31001,Adams County,NE,16.93,83.07,8.69,0,0,0,12/20/11,12/26/11,1
20111213,31001,Adams County,NE,16.93,83.07,8.54,0,0,0,12/13/11,12/19/11,1
20111206,31001,Adams County,NE,16.93,83.07,8.54,0,0,0,12/6/11,12/12/11,1
20111129,31001,Adams County,NE,16.85,83.15,10.74,0,0,0,11/29/11,12/5/11,1
20111122,31001,Adams County,NE,16.85,83.15,10.74,0,0,0,11/22/11,11/28/11,1
20111115,31001,Adams County,NE,17.09,82.91,10.74,0,0,0,11/15/11,11/21/11,1
20111108,31001,Adams County,NE,21.18,78.82,14.09,0,0,0,11/8/11,11/14/11,1
20111101,31001,Adams County,NE,21.18,78.82,14.09,0,0,0,11/1/11,11/7/11,1
20111025,31001,Adams County,NE,83.55,16.45,0,0,0,0,10/25/11,10/31/11,1
20111018,31001,Adams County,NE,83.55,16.45,0,0,0,0,10/18/11,10/24/11,1
20111011,31001,Adams County,NE,83.55,16.45,0,0,0,0,10/11/11,10/17/11,1
20111004,31001,Adams County,NE,100,0,0,0,0,0,10/4/11,10/10/11,1
20110927,31001,Adams County,NE,100,0,0,0,0,0,9/27/11,10/3/11,1
20110920,31001,Adams County,NE,100,0,0,0,0,0,9/20/11,9/26/11,1
20110913,31001,Adams County,NE,100,0,0,0,0,0,9/13/11,9/19/11,1
20110906,31001,Adams County,NE,100,0,0,0,0,0,9/6/11,9/12/11,1
20110830,31001,Adams County,NE,100,0,0,0,0,0,8/30/11,9/5/11,1
20110823,31001,Adams County,NE,100,0,0,0,0,0,8/23/11,8/29/11,1
20110816,31001,Adams County,NE,100,0,0,0,0,0,8/16/11,8/22/11,1
20110809,31001,Adams County,NE,100,0,0,0,0,0,8/9/11,8/15/11,1
20110802,31001,Adams County,NE,100,0,0,0,0,0,8/2/11,8/8/11,1
20110726,31001,Adams County,NE,100,0,0,0,0,0,7/26/11,8/1/11,1
20110719,31001,Adams County,NE,100,0,0,0,0,0,7/19/11,7/25/11,1
20110712,31001,Adams County,NE,100,0,0,0,0,0,7/12/11,7/18/11,1
20110705,31001,Adams County,NE,100,0,0,0,0,0,7/5/11,7/11/11,1
20110628,31001,Adams County,NE,100,0,0,0,0,0,6/28/11,7/4/11,1
20110621,31001,Adams County,NE,100,0,0,0,0,0,6/21/11,6/27/11,1
20110614,31001,Adams County,NE,100,0,0,0,0,0,6/14/11,6/20/11,1
20110607,31001,Adams County,NE,100,0,0,0,0,0,6/7/11,6/13/11,1
20110531,31001,Adams County,NE,100,0,0,0,0,0,5/31/11,6/6/11,1
