Id,State,PercentCurrent,AreaCurrent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,ReleaseDate
8356598,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/27/02
8356599,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,8/27/02
8356600,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,8/27/02
8356601,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,8/27/02
8367876,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/3/02
8367877,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/3/02
8367878,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/3/02
8367879,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,9/3/02
8379387,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/10/02
8379388,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/10/02
8379389,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/10/02
8379390,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,9/10/02
8390909,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/17/02
8390910,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/17/02
8390911,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/17/02
8390912,NE,88.19,497.01,0,0,1,4,D3  ,Adams County,563.54,9/17/02
8402063,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/24/02
8402064,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/24/02
8402065,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/24/02
8402066,NE,88.96,501.31,0,0,1,4,D3  ,Adams County,563.54,9/24/02
8413003,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/1/02
8413004,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/1/02
8413005,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,10/1/02
8413006,NE,94.9,534.79,0,0,1,4,D3  ,Adams County,563.54,10/1/02
8423432,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/8/02
8423433,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/8/02
8423434,NE,97.17,547.58,0,0,1,3,D2  ,Adams County,563.54,10/8/02
8434031,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/15/02
8434032,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/15/02
8434033,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,10/15/02
8434034,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,10/15/02
8444203,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/22/02
8444204,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/22/02
8444205,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,10/22/02
8444206,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,10/22/02
8454125,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/29/02
8454126,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/29/02
